00000000,0.546725
10000000,0.13844
20000000,0.110979
30000000,0.116385
40000000,0.116083
50000000,0.114218
60000000,0.125208
70000000,0.113114
80000000,0.122787
90000000,0.114589
a0000000,0.111565
b0000000,0.134409
c0000000,0.134942
d0000000,0.125388
e0000000,0.113126
f0000000,0.130618
00000000,0.133986
10000000,0.127327
20000000,0.121098
30000000,0.112252
40000000,0.10633
50000000,0.111386
60000000,0.119588
70000000,0.134217
80000000,0.125318
90000000,0.137252
a0000000,0.144188
b0000000,0.361459
c0000000,0.112434
d0000000,0.109691
e0000000,0.110858
f0000000,0.100922
