00000000,0.104233
01000000,0.329628
02000000,0.119443
03000000,0.125354
04000000,0.120498
05000000,0.101622
06000000,0.12999
07000000,0.34379
08000000,0.105199
09000000,0.152432
0a000000,0.100695
0b000000,0.122549
0c000000,0.118678
0d000000,0.120408
0e000000,0.13386
0f000000,0.104891
00000000,0.108543
01000000,0.099165
02000000,0.104511
03000000,0.12917
04000000,0.109253
05000000,0.13175
06000000,0.115972
07000000,0.135547
08000000,0.119792
09000000,0.114698
0a000000,0.117129
0b000000,0.127588
0c000000,0.129609
0d000000,0.131472
0e000000,0.18285
0f000000,0.11089
