07dfb000,0.099625
07dfb100,0.10297
07dfb200,0.115924
07dfb300,0.118632
07dfb400,0.113701
07dfb500,0.111202
07dfb600,0.129554
07dfb700,0.1171
07dfb800,0.124088
07dfb900,0.141262
07dfba00,0.114556
07dfbb00,0.10856
07dfbc00,0.134703
07dfbd00,0.12649
07dfbe00,0.125182
07dfbf00,0.11136
07dfb000,0.102553
07dfb100,0.122028
07dfb200,0.108894
07dfb300,0.100885
07dfb400,0.118455
07dfb500,0.121916
07dfb600,0.113249
07dfb700,0.181489
07dfb800,0.123774
07dfb900,0.150189
07dfba00,0.100879
07dfbb00,0.114764
07dfbc00,0.118871
07dfbd00,0.112994
07dfbe00,0.119441
07dfbf00,0.105169
